Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0165325,2012-12-28,2014-01-18,,Immagini di un convento,http://www.imdb.com/title/tt0165325/,movie,5.7,82,1979,"Adult, Drama",611,1979-08-07,Joe D'Amato
2,tt0237680,2012-12-30,2012-12-30,,Sacred Flesh,http://www.imdb.com/title/tt0237680/,movie,3.4,75,2000,,430,2000-03-17,Nigel Wingrove
3,tt1139797,2012-12-30,2012-12-30,,Låt den rätte komma in,http://www.imdb.com/title/tt1139797/,movie,7.9,115,2008,"Drama, Horror, Romance",185491,2008-01-26,Tomas Alfredson
4,tt1454505,2013-01-01,2013-01-01,,Napapiirin sankarit,http://www.imdb.com/title/tt1454505/,movie,6.9,92,2010,"Comedy, Drama, Romance",4971,2010-09-10,Dome Karukoski
5,tt0070636,2013-01-02,2013-01-02,,Satanico Pandemonium: La Sexorcista,http://www.imdb.com/title/tt0070636/,movie,6.3,89,1975,"Horror, Mystery, Thriller",687,1975-06-26,Gilberto Martínez Solares
6,tt2125608,2013-01-02,2013-01-02,,Searching for Sugar Man,http://www.imdb.com/title/tt2125608/,movie,8.2,86,2012,"Documentary, Biography, Music",54271,2012-01-19,Malik Bendjelloul
7,tt1584016,2013-01-03,2013-01-03,,Catfish,http://www.imdb.com/title/tt1584016/,movie,7.1,87,2010,Documentary,37280,2010-01-22,"Henry Joost, Ariel Schulman"
8,tt2125666,2013-01-03,2013-01-03,,The Queen of Versailles,http://www.imdb.com/title/tt2125666/,movie,7.1,100,2012,Documentary,11428,2012-01-19,Lauren Greenfield
9,tt1319744,2013-01-03,2013-01-03,,The Interrupters,http://www.imdb.com/title/tt1319744/,movie,7.5,125,2011,"Documentary, Crime",3223,2011-01-21,Steve James
10,tt1787725,2013-01-05,2013-01-05,,If a Tree Falls: A Story of the Earth Liberation Front,http://www.imdb.com/title/tt1787725/,movie,7.2,85,2011,"Documentary, Biography, Crime, Drama, History, News, Thriller",2834,2011-01-01,"Sam Cullman, Marshall Curry"
11,tt2158668,2013-01-05,2013-01-05,,My Big Fat Fetish,http://www.imdb.com/title/tt2158668/,tvMovie,5.4,47,2012,Documentary,16,2012-05-22,"Jon Cahn, Nick Betts"
12,tt2120152,2013-01-05,2013-01-05,,The Invisible War,http://www.imdb.com/title/tt2120152/,movie,7.6,93,2012,"Documentary, Crime",6158,2012-01-20,Kirby Dick
13,tt1588342,2013-01-11,2013-01-11,,Snabba cash II,http://www.imdb.com/title/tt1588342/,movie,6.2,99,2012,"Action, Crime, Drama, Thriller",6183,2012-08-10,Babak Najafi
14,tt1142977,2013-01-13,2013-01-13,,Frankenweenie,http://www.imdb.com/title/tt1142977/,movie,7.0,87,2012,"Animation, Comedy, Family, Horror, Sci-Fi",82328,2012-09-20,Tim Burton
15,tt0893356,2013-01-18,2013-01-18,,Nanking,http://www.imdb.com/title/tt0893356/,movie,7.8,90,2007,"Biography, History, War",3107,2007-01-01,"Bill Guttentag, Dan Sturman"
16,tt1853728,2013-01-19,2013-01-19,,Django Unchained,http://www.imdb.com/title/tt1853728/,movie,8.4,165,2012,"Drama, Western",1090095,2012-12-11,Quentin Tarantino
17,tt0815241,2013-01-20,2013-01-20,,Religulous,http://www.imdb.com/title/tt0815241/,movie,7.7,101,2008,"Documentary, Comedy, War",54631,2008-08-01,Larry Charles
18,tt0104140,2013-01-20,2013-01-20,,Dream Deceivers: The Story Behind James Vance vs. Judas Priest,http://www.imdb.com/title/tt0104140/,movie,7.3,60,1992,"Documentary, Music",250,1992-08-06,David Van Taylor
19,tt0874423,2013-01-23,2013-01-23,,Zoo,http://www.imdb.com/title/tt0874423/,movie,5.6,75,2007,Documentary,2444,2007-01-20,Robinson Devor
